"recording_id","activity_id","step_indices"
"1_36","1","3,1,5,12,8,6,10,9,2,7,10,11"
"1_37","1","3,1,4,6,12,9,11,8,5,10,2,7"
"13_9","13","129,137,132,133,130,138,135,134,131,128,136,76"
"1_42","1","1,4,11,3,12,9,8,6,5,10,2,7"
"1_43","1","3,1,4,11,12,8,9,5,10,6,2,7"
"1_49","1","3,5,10,12,1,4,11,8,6,9,2,7"
"15_2","15","145,140,149,155,150,154,141,139,152,151,148,147,157,142,146,144,153,143,156"
"15_4","15","145,149,140,155,150,154,139,141,152,151,148,147,157,146,142,144,153,143,156"
"15_5","15","145,149,155,150,140,154,139,141,152,151,148,147,157,146,142,144,153,143,156"
"15_8","15","145,149,140,155,150,154,141,139,152,151,148,147,157,142,146,144,153,143,156"
"16_1","16","163,158,169,161,176,180,167,177,164,159,173,178,179,166,160,162,165,168,175,170,172,171,174"
"16_2","16","163,169,167,177,161,158,176,180,164,159,173,178,179,166,160,162,165,168,175,170,172,171,174"
"16_3","16","161,158,176,163,169,167,177,180,164,159,173,178,179,166,162,160,165,168,175,170,172,171,174"
"17_3","17","183,181,189,191,182,188,185,187,184,190,186"
"17_5","17","183,181,187,188,189,184,182,191,185,190,186"
"17_8","17","183,191,189,182,188,185,187,181,184,190,186"
"18_2","18","203,200,196,204,199,202,201,193,198,194,192,197,195"
"18_3","18","203,196,204,200,199,202,201,198,194,193,192,197,195"
"18_8","18","203,200,196,204,199,202,201,193,198,194,192,197,195"
"20_9","20","206,176,212,205,214,210,211,215,208,213,209,207,218,217,207,219,220,216"
"2_13","2","17,23,27,14,19,16,22,26,21,24,15,20,18,20,18,25"
"21_3","21","225,229,221,232,227,223,231,226,233,228,230,234,222,224"
"2_17","2","14,22,17,16,27,21,26,19,24,23,15,20,18,20,18,25"
"21_8","21","229,225,232,221,227,223,231,226,228,233,230,234,222,224"
"2_19","2","17,23,14,27,22,21,19,16,26,24,15,20,18,20,18,25"
"2_22","2","22,14,16,26,17,23,27,19,21,24,15,20,18,20,18,25"
"22_2","22","247,237,246,239,242,249,248,235,240,244,236,241,238,245,243"
"22_4","22","239,237,247,246,242,249,248,235,240,244,236,241,238,245,243"
"2_26","2","14,17,16,26,22,21,27,19,23,15,20,18,20,25,24,18"
"22_6","22","247,237,246,242,249,239,248,235,240,244,236,241,238,245,243"
"2_28","2","17,19,22,14,23,21,26,24,15,20,18,25,16,27,20,18"
"22_8","22","237,249,247,242,239,246,248,235,240,244,236,241,238,245,243"
"2_30","2","17,21,14,27,23,19,16,22,26,24,15,20,20,25,18,18"
"23_1","23","273,268,250,270,269,254,257,267,262,271,255,259,252,260,251,263,266,258,265,253,261,274,272,256,264"
"23_5","23","273,269,257,270,259,267,250,268,254,262,255,252,260,251,271,263,266,258,265,253,261,274,272,256,264"
"23_6","23","273,269,268,252,254,267,257,270,259,271,250,262,263,255,260,251,266,258,265,253,261,274,272,256,264"
"2_38","2","14,17,16,26,22,27,19,21,24,20,20,18,23,18,25,15"
"23_9","23","252,271,270,250,257,273,268,254,269,262,263,267,255,260,251,259,266,265,258,253,261,274,272,256,264"
"2_41","2","22,17,27,19,14,16,26,23,24,15,21,24,20,18,20,18,25"
"2_42","2","14,23,21,20,22,17,27,19,16,26,24,18,20,15,18,25,18,25"
"2_46","2","17,14,16,23,20,26,18,22,27,19,24,20,18,25,21,15"
"2_47","2","14,17,27,19,22,21,20,18,16,23,26,15,24,20,18,25"
"25_1","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"25_2","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"25_3","25","275,293,276,286,291,279,292,280,285,287,290,282,278,277,284,289,281,288,283"
"25_4","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"25_5","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"25_6","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"25_9","25","275,293,291,279,286,276,292,280,285,287,290,282,277,278,284,289,281,288,283"
"26_4","26","304,303,310,297,301,299,308,296,313,300,294,307,312,309,305,295,298,311,306,302"
"26_6","26","304,310,299,297,308,313,300,303,301,296,294,307,312,309,305,295,298,311,306,302"
"26_7","26","303,299,304,301,297,310,308,313,300,296,294,307,312,309,305,295,298,311,306,302"
"27_3","27","321,322,316,320,323,318,317,315,319,314,324"
"27_4","27","320,316,321,323,322,318,317,315,314,319,324"
"27_9","27","316,321,320,323,322,318,317,315,319,314,324"
"28_2","28","335,336,328,329,341,327,340,325,339,333,334,331,338,326,332,330,337"
"28_3","28","336,327,339,328,334,340,329,335,341,325,333,331,338,326,332,330,337"
"28_7","28","336,335,340,333,341,328,329,327,339,334,331,326,325,338,332,330,337"
"29_5","29","342,343,346,344,349,352,350,347,351,348,345"
"29_6","29","343,344,347,342,349,346,350,351,352,348,345"
"29_7","29","347,342,344,343,349,346,350,352,351,348,345"
"3_11","3","36,35,33,28,40,38,41,34,37,30,31,39,29,32"
"3_12","3","36,28,33,35,40,38,41,34,37,30,31,39,29,32"
"3_13","3","36,35,40,33,28,38,41,34,37,30,31,39,29,32"
"3_14","3","36,40,35,28,33,38,34,41,37,30,31,39,29,32"
"3_18","3","36,28,40,33,35,38,41,34,37,30,31,39,29,32"
"3_22","3","36,35,40,28,33,38,34,41,37,30,31,39,29,32"
"3_34","3","36,35,38,28,40,34,41,37,30,33,39,32,31,29"
"3_36","3","36,34,33,40,38,41,28,37,35,30,31,30,31,39,29,32"
"3_46","3","36,35,40,33,28,38,34,41,29,30,31,39,37,32"
"3_49","3","36,40,33,35,28,38,34,41,29,30,31,39,37,32"
"3_50","3","36,40,33,39,28,38,41,34,37,30,31,35,29,32"
"4_17","4","14,47,46,51,44,54,52,55,49,45,53,50,48,42,43"
"4_20","4","47,14,51,44,46,54,52,55,49,45,48,50,53,42,43"
"4_22","4","44,14,47,51,46,54,52,55,49,45,50,48,53,42,43"
"4_24","4","47,14,51,46,54,44,52,55,49,45,48,53,50,42,43"
"4_30","4","14,51,44,47,46,54,52,55,49,45,49,45,53,48,42,43,50"
"4_32","4","47,44,14,51,54,52,55,49,45,53,48,42,43,46,50"
"4_35","4","47,14,46,51,44,54,52,55,45,53,48,42,43,49,50"
"4_36","4","47,14,51,46,44,54,52,55,49,45,50,48,53,42,43"
"4_40","4","14,47,51,44,46,53,52,54,49,45,48,50,55,43,42"
"4_43","4","14,44,47,51,54,46,50,55,49,45,52,45,53,48,42,43"
"4_44","4","47,14,46,44,52,14,51,54,55,49,45,50,48,53,42,43"
"5_11","5","65,69,62,60,67,68,59,58,70,64,71,57,56,61,66,63"
"5_15","5","65,62,67,69,68,70,60,64,59,71,58,57,56,61,66,63"
"5_18","5","65,68,62,70,69,64,71,67,60,59,58,57,56,61,66,63"
"5_19","5","69,62,65,68,70,67,60,64,71,59,58,57,56,61,66,63"
"5_22","5","65,62,67,68,70,69,60,59,64,71,58,57,56,61,66,63"
"5_24","5","68,69,62,65,70,60,59,67,64,58,71,57,56,61,66,63"
"5_27","5","68,70,62,69,64,60,59,65,67,58,57,56,61,66,63,71"
"5_28","5","68,70,65,69,64,71,58,57,56,61,66,63,60,67,62,59"
"5_35","5","62,65,68,70,60,59,67,64,71,69,58,57,56,66,63,61"
"5_37","5","69,68,70,64,65,62,60,67,59,58,57,56,61,66,63,71"
"5_42","5","65,62,60,69,59,67,58,68,70,57,56,61,66,64,71,63"
"5_44","5","65,60,69,59,67,58,68,70,57,56,61,66,64,71,62,63"
"7_18","7","77,81,72,73,82,74,80,76,79,75,78"
"7_19","7","77,72,73,82,80,81,74,76,79,75,78"
"7_24","7","77,81,72,73,82,80,74,76,79,75,78"
"7_26","7","77,73,82,74,80,81,79,75,78,72,76"
"7_30","7","77,72,73,82,80,74,76,75,81,79,78"
"7_32","7","77,72,73,81,74,82,76,79,78,80,75"
"7_35","7","77,72,76,74,80,73,82,81,79,75,78"
"7_38","7","77,81,73,74,82,72,80,79,76,75,78"
"7_44","7","81,77,72,73,74,80,82,76,79,75,78"
"7_48","7","81,77,74,73,80,72,82,76,79,75,78"
"7_50","7","77,81,72,73,79,75,74,78,82,76,80"
"8_11","8","88,89,84,90,87,85,83"
"8_15","8","88,89,87,90,84,85,83"
"8_16","8","88,89,90,84,87,85,83"
"8_19","8","88,89,87,84,90,85,83"
"8_20","8","88,89,84,90,87,85,83"
"8_25","8","88,89,84,90,87,85,83"
"8_26","8","88,89,90,87,85,83,84"
"8_30","8","88,90,84,87,85,83,89"
"8_31","8","88,89,84,85,83,87,90"
"8_33","8","88,89,90,87,84,85,83"
"8_35","8","88,87,89,84,85,90,83"
"8_40","8","84,90,89,88,87,85,83"
"8_44","8","88,90,84,85,83,89,87"
"8_45","8","88,90,84,87,89,83,85"
"8_50","8","87,88,89,90,83,85,84"
"9_12","9","94,98,101,95,100,93,99,92,91,97,96"
"9_13","9","94,98,101,99,95,100,93,92,91,97,96"
"9_15","9","94,99,98,101,95,100,93,92,91,97,96"
"9_19","9","94,99,98,101,95,100,93,92,91,97,96"
"9_22","9","99,94,98,101,100,95,93,92,91,97,96"
"9_24","9","94,98,99,101,100,95,93,92,91,97,96"
"9_25","9","94,98,101,95,100,93,99,92,91,97,96"
"9_36","9","94,98,101,100,95,93,92,91,97,96,99"
"9_45","9","100,94,98,101,91,95,93,99,92,97,96"
"9_47","9","99,94,98,101,100,95,91,97,96,92,93"
"10_16","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"10_18","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"10_24","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"10_26","10","115,118,111,107,104,116,110,114,108,102,102,102,109,103,113,112,106,117,105"
"10_31","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"10_42","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,102,109"
"10_46","10","113,115,112,111,107,104,116,114,110,106,117,105,108,102,102,102,109,103,118"
"10_47","10","115,111,107,104,113,112,116,106,117,105,114,103,110,118,108,102,102,102,109"
"10_48","10","115,111,107,113,112,118,116,110,104,106,117,105,108,114,103,109,102,102,102"
"10_50","10","115,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109,112,113"
"1_136","1","3,1,5,12,8,6,9,4,2,10,11,7"
"1_143","1","3,1,4,11,12,8,9,5,10,6,2,7"
"12_10","12","125,122,119,120,127,123,126,124,121"
"12_12","12","125,122,119,120,127,126,124,123,121"
"12_13","12","125,122,119,120,126,124,123,127,121"
"12_15","12","125,122,119,120,126,127,124,123,121"
"12_16","12","125,122,119,120,126,127,123,124,121"
"12_17","12","125,122,119,120,126,123,127,124,121"
"12_19","12","125,122,119,120,123,127,124,126,121"
"12_26","12","125,122,119,120,124,123,127,126,121"
"12_38","12","125,122,119,120,123,126,124,127,121"
"12_41","12","125,122,119,126,124,123,127,120,121"
"12_43","12","125,122,119,120,126,127,123,124,121"
"12_48","12","125,122,119,120,123,127,126,124,121"
"12_51","12","125,122,119,120,126,127,123,124,121"
"13_12","13","129,137,132,133,138,130,135,134,131,136,128,76"
"13_14","13","129,137,132,133,130,138,135,134,131,136,128,76"
"13_18","13","129,137,132,133,130,138,135,134,136,131,128,76"
"13_20","13","129,137,132,133,130,138,135,134,131,128,136,76"
"13_24","13","129,137,132,133,130,138,135,134,131,128,136,76"
"13_31","13","129,137,132,133,130,135,134,131,128,76,138,136"
"13_32","13","137,132,133,138,135,136,131,128,76,129,130,134"
"13_36","13","129,137,132,133,130,138,136,128,76,135,134,131"
"13_38","13","129,132,130,133,138,134,136,131,76,137,135,128"
"13_41","13","129,137,132,133,130,131,128,138,135,134,136,76"
"13_44","13","129,137,132,133,130,138,135,76,136,131,128,134"
"13_45","13","129,137,132,133,138,130,136,134,131,128,135,76"
"15_17","15","154,145,139,149,140,141,152,151,155,148,147,157,146,150,142,144,153,143,156"
"15_18","15","145,149,155,140,150,154,141,139,152,151,148,147,157,142,146,144,153,143,156"
"15_19","15","145,154,139,141,140,152,149,151,155,150,148,147,157,142,146,144,153,143,156"
"15_28","15","154,139,141,151,147,149,155,150,157,146,142,144,153,143,156,145,140,148,152"
"15_29","15","149,154,141,139,155,145,140,152,151,148,147,150,157,146,142,144,143,156,153"
"15_30","15","154,149,139,155,145,150,140,141,152,151,148,157,146,142,144,153,143,156,147"
"15_33","15","149,145,154,140,155,150,139,147,157,142,144,143,156,152,141,151,148,153,146"
"15_37","15","145,154,141,140,139,152,151,149,148,157,150,146,142,144,153,143,156,147,155"
"15_39","15","149,145,140,155,154,139,141,150,152,151,148,147,146,157,142,144,143,156,153"
"15_41","15","145,154,139,140,141,152,149,151,155,150,157,146,147,142,144,153,143,156,148"
"15_46","15","145,154,139,140,149,141,152,148,151,155,143,150,157,146,142,153,144,156,147"
"16_10","16","161,164,176,163,180,169,167,177,159,158,173,179,178,166,162,160,165,175,168,170,172,171,174"
"16_17","16","167,177,164,169,158,163,176,161,180,159,173,178,179,166,162,160,165,168,175,170,172,171,174"
"16_18","16","176,161,163,164,167,177,159,180,169,158,173,179,178,166,162,160,165,175,168,170,172,171,174"
"16_20","16","167,169,177,176,161,164,180,159,158,163,173,178,179,166,162,160,165,175,168,170,172,171,174"
"16_23","16","161,164,167,177,159,169,158,163,176,180,173,178,179,166,160,162,165,175,168,170,172,171,174"
"16_26","16","163,169,173,168,158,178,161,164,175,176,167,180,179,166,162,165,170,177,159,172,171,160,174"
"16_27","16","163,168,158,173,178,177,161,176,164,180,179,167,166,162,160,159,165,172,171,174,169,175,170"
"16_28","16","163,169,173,179,178,158,175,161,168,167,164,177,166,176,162,180,160,165,170,159,172,171,174"
"16_35","16","173,176,167,163,179,169,161,178,175,166,160,162,165,158,168,164,159,172,171,174,180,177,170"
"16_39","16","173,168,161,177,178,167,169,176,162,175,160,165,164,180,160,158,159,172,171,174,163,170,179,166"
"16_40","16","173,163,161,158,167,169,159,175,179,176,164,180,166,162,177,165,170,172,171,174,168,160,178"
"16_42","16","163,169,176,180,173,161,179,158,166,160,162,165,175,168,170,167,177,164,159,172,171,174,178"
"16_44","16","173,176,169,178,158,180,168,167,177,161,160,163,162,165,159,179,166,172,171,174,164,175,170"
"17_10","17","183,188,187,189,191,184,182,181,185,190,186"
"17_11","17","183,187,184,188,191,189,181,182,185,190,186"
"17_14","17","183,181,187,188,189,182,185,190,184,191,186"
"17_15","17","189,183,187,184,182,181,188,185,191,190,186"
"17_16","17","183,189,181,188,182,187,185,184,191,190,186"
"17_19","17","183,191,181,189,187,182,185,184,190,188,186"
"17_20","17","183,187,184,188,191,189,181,182,185,190,186"
"17_21","17","189,183,181,182,185,190,188,184,191,187,186"
"17_23","17","183,187,189,191,188,181,182,185,190,184,186"
"17_28","17","183,189,182,191,181,184,187,185,190,186,188"
"17_29","17","189,183,187,182,188,181,185,191,190,186,184"
"17_36","17","187,191,183,182,181,188,185,190,184,189,186"
"17_37","17","188,187,189,183,182,184,181,191,186,185,190,186"
"17_40","17","188,187,189,181,183,185,184,191,190,186,182"
"17_43","17","189,185,184,188,187,183,191,190,181,186,182"
"17_45","17","189,188,181,182,187,191,185,190,184,183,186"
"17_49","17","181,189,188,182,191,184,183,186,187,185,190"
"18_11","18","200,203,196,204,199,202,201,198,193,194,192,197,195"
"18_12","18","200,203,196,204,199,202,201,193,194,198,192,197,195"
"18_19","18","203,200,196,204,199,202,201,194,198,193,192,197,195"
"18_24","18","200,203,196,204,199,202,201,193,194,198,192,197,195"
"18_27","18","200,196,204,199,203,202,194,193,201,192,198,197,195"
"18_28","18","200,196,203,204,199,202,201,193,192,194,198,197,195"
"18_31","18","196,204,200,199,202,194,193,197,195,203,198,201,192"
"18_33","18","196,203,200,204,199,202,194,201,198,192,193,197,195"
"18_41","18","196,200,203,204,199,194,193,201,198,192,195,197,202"
"18_45","18","196,200,202,204,198,203,194,199,201,193,192,197,195"
"18_49","18","200,196,199,202,194,198,203,201,204,192,193,197,195"
"20_14","20","176,211,206,205,214,210,212,215,208,213,209,207,218,217,207,219,220,216"
"20_16","20","212,206,205,176,214,211,210,215,208,213,209,207,217,218,207,219,220,216"
"20_17","20","206,205,214,210,176,212,211,215,208,213,209,207,217,218,207,219,220,216"
"20_19","20","206,205,214,210,176,212,211,215,208,213,209,207,217,218,207,219,220,216"
"20_22","20","176,206,205,214,210,211,212,215,208,213,209,207,218,217,207,219,220,216"
"20_25","20","176,206,212,211,205,214,210,215,208,213,209,207,218,217,207,219,220,216"
"20_26","20","215,206,176,205,214,212,210,208,213,211,207,218,209,207,219,220,216,217"
"20_29","20","206,176,205,215,212,210,211,208,213,207,217,218,207,220,219,216,209,214"
"20_32","20","206,205,214,210,215,212,208,213,209,176,207,211,218,217,207,219,216,220"
"20_39","20","176,214,210,212,215,208,213,209,207,211,218,217,207,219,216,206,220,205"
"20_44","20","176,215,211,206,217,205,214,212,218,208,213,209,207,219,207,220,216,210"
"20_47","20","212,215,206,205,176,214,210,208,213,220,207,211,218,207,209,219,216,217"
"20_48","20","206,215,205,214,176,210,207,217,211,218,207,219,220,208,209,213,216,212"
"21_11","21","221,229,225,232,227,233,223,231,226,228,230,234,222,224"
"21_14","21","232,225,233,229,221,227,223,231,226,228,230,234,222,224"
"21_15","21","232,229,225,221,233,227,223,231,226,228,230,234,222,224"
"21_17","21","225,229,221,232,227,233,223,231,226,228,230,234,222,224"
"21_19","21","232,221,233,225,229,227,223,231,226,228,230,234,222,224"
"21_24","21","232,225,221,229,233,227,223,231,226,228,230,234,222,224"
"21_25","21","232,225,221,233,229,227,223,231,226,228,230,234,222,224"
"21_28","21","229,232,225,227,223,231,226,228,230,233,234,222,224,221"
"21_29","21","232,229,221,227,223,231,226,233,228,230,234,222,224,225"
"21_32","21","232,225,221,233,229,227,231,226,228,230,234,222,224,223"
"21_37","21","229,225,232,221,227,223,231,226,228,230,234,224,233,222"
"21_43","21","221,225,229,232,227,223,231,226,228,230,224,234,233,222"
"21_44","21","221,232,233,224,225,227,223,231,226,228,230,234,222,229"
"21_46","21","225,221,229,232,233,227,223,224,231,226,228,230,234,222"
"21_47","21","225,221,229,227,232,227,223,231,226,228,230,234,233,222,224"
"21_50","21","232,221,225,227,229,231,226,228,223,230,233,234,222,224"
"22_10","22","239,237,242,247,246,235,240,244,249,248,236,241,238,245,243"
"22_13","22","247,246,237,242,239,249,248,235,240,244,236,241,238,245,243"
"22_21","22","247,237,239,246,242,249,248,235,240,244,236,241,238,245,243"
"22_24","22","237,247,242,239,246,249,248,235,240,244,236,241,238,245,243"
"22_26","22","237,247,246,242,239,249,248,235,240,244,236,241,238,245,243"
"22_30","22","247,246,235,237,249,240,244,239,242,236,248,241,238,245,243"
"22_31","22","237,247,246,239,235,240,244,242,244,249,236,241,238,245,243,248"
"22_32","22","239,249,237,235,247,246,248,240,241,238,245,243,236,244,242"
"22_37","22","237,249,235,247,246,240,239,248,244,236,242,241,238,245,243"
"22_38","22","247,239,235,246,249,248,241,240,244,236,237,242,238,245,243"
"22_40","22","247,237,246,239,249,235,242,248,240,241,244,236,238,245,243"
"22_41","22","247,237,246,235,240,242,248,244,236,239,249,241,238,245,243"
"23_12","23","273,268,250,269,257,252,262,270,267,254,259,255,260,271,251,263,266,265,258,253,261,274,272,256,264"
"23_16","23","252,271,270,250,254,268,267,273,269,259,257,262,255,260,251,263,266,258,265,253,261,274,272,256,264"
"23_17","23","252,254,268,257,262,250,270,267,269,273,255,271,263,260,251,259,266,265,258,253,261,274,272,256,264"
"23_18","23","273,269,257,267,250,254,262,252,268,255,260,270,251,271,263,259,266,265,258,253,261,274,272,256,264"
"23_19","23","273,269,257,267,271,252,268,254,262,250,270,263,255,260,251,259,266,265,258,253,261,274,272,256,264"
"23_23","23","273,269,257,270,259,267,250,252,268,254,262,255,271,260,251,263,266,265,258,253,261,274,272,256,264"
"23_24","23","252,254,250,257,269,271,270,262,273,255,267,268,259,263,260,251,266,265,258,253,261,274,272,256,264"
"23_26","23","252,254,268,257,262,250,270,255,271,269,259,263,260,273,251,266,258,253,261,274,272,256,264,267,265"
"23_32","23","257,269,250,252,271,255,268,254,260,251,273,263,270,259,266,265,258,253,261,274,272,256,264,267,262"
"23_38","23","273,269,271,263,270,271,261,257,262,255,250,251,256,266,259,258,265,268,274,267,272,264,253,260,254,252"
"23_39","23","257,262,255,268,269,260,251,270,271,250,273,267,256,259,263,265,258,253,261,254,272,252,264,274,266"
"23_41","23","273,257,262,255,267,271,250,268,270,263,266,260,259,251,252,265,258,253,261,274,272,256,264,254,269"
"25_11","25","275,293,291,279,286,276,292,280,285,287,290,282,278,277,284,289,281,288,283"
"25_13","25","291,286,276,275,293,279,292,280,285,287,290,282,278,277,284,289,281,288,283"
"25_22","25","275,293,291,279,286,276,292,280,285,287,290,282,278,277,284,289,281,288,283"
"25_40","25","275,286,291,293,279,276,292,280,285,287,290,282,278,277,284,289,281,288,283"
"25_41","25","275,293,291,279,276,292,285,287,290,282,277,278,284,289,286,281,288,283,280"
"25_42","25","275,293,279,286,291,276,292,282,289,280,285,287,290,278,281,284,288,283,277"
"25_48","25","275,286,291,279,292,285,287,278,289,282,277,284,288,283,280,276,293,290,281"
"26_17","26","299,310,303,304,297,301,308,300,296,313,294,307,312,309,305,295,298,311,306,302"
"26_18","26","297,303,299,304,310,308,313,300,296,301,294,307,312,309,305,295,298,311,306,302"
"26_19","26","299,303,304,297,310,308,300,313,296,294,301,307,312,309,305,295,298,311,306,302"
"26_20","26","303,310,297,304,299,308,313,300,296,301,294,307,312,309,305,295,298,311,306,302"
"26_22","26","310,304,303,299,297,308,313,296,301,300,294,307,312,309,305,295,298,311,306,302"
"26_24","26","304,299,297,303,310,308,300,313,296,301,294,307,312,309,305,295,298,311,306,302"
"26_29","26","310,304,297,299,308,296,300,313,303,294,301,307,312,309,305,295,298,311,306,302"
"26_30","26","299,297,310,308,313,296,303,301,300,294,307,309,305,295,298,306,302,304,312,311"
"26_34","26","297,304,310,308,313,300,296,294,307,312,309,305,298,306,302,299,303,301,311,295"
"26_36","26","304,310,299,297,308,300,303,301,296,313,294,307,312,309,305,295,298,311,306,302"
"26_39","26","304,297,299,303,310,308,301,300,313,294,307,312,309,305,295,298,306,302,296,311"
"26_42","26","310,299,303,301,304,296,308,307,312,305,309,295,298,311,306,302,300,294,297,313"
"26_46","26","297,299,304,303,310,308,301,296,313,294,300,307,312,309,298,306,302,295,305,311"
"27_13","27","321,316,322,320,323,318,317,319,315,314,324"
"27_15","27","320,316,321,323,322,318,317,315,319,314,324"
"27_17","27","316,321,320,323,322,318,317,315,314,319,324"
"27_18","27","321,322,320,318,316,323,317,315,314,319,324"
"27_26","27","316,321,322,320,323,317,314,319,315,324,318"
"27_29","27","321,316,323,322,318,317,319,314,315,324,320"
"27_31","27","316,320,321,323,322,318,317,315,314,324,319"
"27_34","27","320,321,322,316,323,318,317,319,314,324,315"
"27_37","27","320,319,321,318,322,316,323,317,315,314,324"
"27_38","27","316,321,322,318,320,317,314,319,324,323,315"
"27_45","27","316,321,322,323,318,317,319,320,314,315,324"
"27_49","27","320,316,323,321,322,317,318,319,315,314,324"
"28_10","28","340,339,327,336,328,333,334,335,331,326,329,338,341,325,332,330,337"
"28_14","28","339,336,328,340,333,327,334,331,335,341,329,325,338,326,332,330,337"
"28_16","28","339,329,336,328,327,334,335,340,333,341,325,331,326,338,332,330,337"
"28_21","28","336,327,329,339,340,333,328,334,335,331,326,338,341,325,332,330,337"
"28_24","28","340,329,335,336,327,341,339,328,333,334,331,326,338,325,332,330,337"
"28_25","28","327,335,336,329,340,341,325,328,334,339,333,331,326,338,332,330,337"
"28_26","28","336,328,327,340,339,334,335,333,329,331,326,338,330,337,341,332,325"
"28_28","28","335,341,336,340,329,328,327,339,334,325,326,332,330,337,333,331,338"
"28_29","28","340,329,339,335,336,328,333,341,325,327,331,338,326,334,332,330,337"
"28_38","28","336,339,340,335,333,329,341,328,332,325,338,327,330,334,331,337,326"
"28_42","28","336,340,328,335,341,333,327,339,329,334,331,325,338,326,332,330,337"
"28_44","28","340,335,336,327,333,328,341,339,325,329,334,331,338,332,330,326,337"
"28_45","28","336,335,340,328,339,341,334,327,333,331,338,329,332,325,326,330,337"
"28_49","28","336,327,335,329,340,333,339,334,331,341,340,325,326,332,330,337,338,328"
"28_50","28","336,339,328,335,341,334,331,329,332,338,326,340,325,330,337,327,333"
"29_15","29","344,342,347,343,350,351,349,346,352,348,345"
"29_17","29","344,349,350,347,351,342,343,346,348,352,345"
"29_18","29","343,342,344,349,347,350,352,346,351,348,345"
"29_19","29","344,342,349,350,351,346,343,347,352,348,345"
"29_22","29","347,346,344,342,349,343,350,352,351,348,345"
"29_28","29","343,350,342,344,349,347,346,351,348,345,352"
"29_29","29","343,344,347,346,342,350,349,348,352,345,351"
"29_32","29","346,350,344,347,342,349,352,351,348,345,343"
"29_34","29","344,347,352,343,350,346,342,348,345,349,351"
